Algorithm,Course_ID,Course_Name,Course_Code,Department,Difficulty_Level,Num_Students,Professor_ID,Professor_Name,Professor_Title,Professor_Department,Share_Percentage,Workload_Hours,Lecture_Hours,Lab_Hours,Assessment_Hours,Prep_Hours,Team_Teaching,Num_Professors
Genetic Algorithm,C001,Introduction to Programming,CS101,COMP,1,120,P017,Michelle Smith,Associate Professor,Public Health,50.0,7.25,1.5,1.0,1.0,2.25,True,2
Genetic Algorithm,C001,Introduction to Programming,CS101,COMP,1,120,P022,Carol Baker,Assistant Professor,History,50.0,7.25,1.5,1.0,1.0,2.25,True,2
Genetic Algorithm,C002,Data Structures,CS102,COMP,2,100,P049,Nancy Morgan,Lecturer,Geology,50.0,7.833333333333333,1.5,1.0,0.8333333333333334,2.7,True,2
Genetic Algorithm,C002,Data Structures,CS102,COMP,2,100,P043,Charles Mitchell,Associate Professor,Philosophy,50.0,7.833333333333333,1.5,1.0,0.8333333333333334,2.7,True,2
Genetic Algorithm,C003,Algorithms,CS201,COMP,2,80,P076,Karen Watson,Assistant Professor,Computer Science & Engineering,50.0,6.666666666666667,1.5,0.5,0.6666666666666666,3.0,True,2
Genetic Algorithm,C003,Algorithms,CS201,COMP,2,80,P062,Kenneth Ramirez,Professor,Political Science,50.0,6.666666666666667,1.5,0.5,0.6666666666666666,3.0,True,2
Genetic Algorithm,C004,Computer Organization,CS202,COMP,2,90,P068,Jonathan King,Professor,Civil Engineering,50.0,7.583333333333333,1.5,1.0,0.8333333333333334,2.55,True,2
Genetic Algorithm,C004,Computer Organization,CS202,COMP,2,90,P089,Sharon Parker,Professor,Biology,50.0,7.583333333333333,1.5,1.0,0.8333333333333334,2.55,True,2
Genetic Algorithm,C005,Operating Systems,CS301,COMP,3,70,P054,Michelle Lewis,Associate Professor,Communication Studies,50.0,8.666666666666666,1.5,1.0,0.6666666666666666,3.3000000000000003,True,2
Genetic Algorithm,C005,Operating Systems,CS301,COMP,3,70,P078,Jason Kim,Professor,Biochemistry,50.0,8.666666666666666,1.5,1.0,0.6666666666666666,3.3000000000000003,True,2
Genetic Algorithm,C006,Database Systems,CS302,COMP,3,85,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,50.0,8.083333333333334,1.5,1.0,0.8333333333333334,2.8499999999999996,True,2
Genetic Algorithm,C006,Database Systems,CS302,COMP,3,85,P053,Dorothy Ruiz,Associate Professor,Biochemistry,50.0,8.083333333333334,1.5,1.0,0.8333333333333334,2.8499999999999996,True,2
Genetic Algorithm,C007,Software Engineering,CS401,COMP,4,60,P081,Helen Ortiz,Professor,Computer Science & Engineering,33.333333333333336,6.500000000000001,1.0,0.6666666666666667,0.6666666666666667,2.5000000000000004,True,3
Genetic Algorithm,C007,Software Engineering,CS401,COMP,4,60,P024,Edward Gonzalez,Lecturer,Philosophy,33.333333333333336,6.500000000000001,1.0,0.6666666666666667,0.6666666666666667,2.5000000000000004,True,3
Genetic Algorithm,C007,Software Engineering,CS401,COMP,4,60,P057,Sandra Jones,Associate Professor,Philosophy,33.333333333333336,6.500000000000001,1.0,0.6666666666666667,0.6666666666666667,2.5000000000000004,True,3
Genetic Algorithm,C008,Computer Networks,CS402,COMP,4,65,P030,Edward Hernandez,Professor,Computer Science & Engineering,50.0,6.866666666666667,1.5,0.5,0.6666666666666666,3.1500000000000004,True,2
Genetic Algorithm,C008,Computer Networks,CS402,COMP,4,65,P079,William Roberts,Lecturer,Sociology,50.0,6.866666666666667,1.5,0.5,0.6666666666666666,3.1500000000000004,True,2
Genetic Algorithm,C009,Artificial Intelligence,CS501,COMP,5,50,P100,Sharon Ortiz,Assistant Professor,English Literature,50.0,8.266666666666666,1.5,0.5,0.6666666666666666,4.199999999999999,True,2
Genetic Algorithm,C009,Artificial Intelligence,CS501,COMP,5,50,P060,William Ramirez,Professor,Medicine,50.0,8.266666666666666,1.5,0.5,0.6666666666666666,4.199999999999999,True,2
