Algorithm,Professor_ID,Professor_Name,Title,Department,Years_Experience,Teaching_Hours,Research_Hours,Admin_Hours,Total_Hours,Contracted_Hours,Load_Percentage,Min_Teaching_Required,Max_Teaching_Allowed,Meets_Minimum,Within_Limits,Assigned_Courses,Num_Courses
Genetic Algorithm,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,10,8.083333333333334,9.915618482704469,3.926972739577865,21.925924555615666,40.0,39.09984368209659,8.315028193165464,20.6735694368891,False,True,CS302 (50.0%),1
Genetic Algorithm,P002,Patricia Scott,Assistant Professor,Geology,7,20.5,10.373662603956515,9.749674919753271,40.623337523709786,40.0,98.59654831545174,10.168780805497097,20.791802908162563,True,True,CS601 (100.0%); MATH702 (100.0%),2
Genetic Algorithm,P003,Donna Lewis,Associate Professor,Electrical Engineering,12,13.033333333333333,9.680612306718032,3.996237913783395,26.71018355383476,40.0,81.31635387804316,11.12046496748577,16.027936216717855,True,True,MATH402 (100.0%),1
Genetic Algorithm,P004,Sarah Wilson,Associate Professor,Chemistry,15,5.711111111111111,13.4050178655208,6.089391974996697,25.20552095162861,40.0,24.898735544374702,11.839328014732144,22.93735399106002,False,True,CS805 (33.3%),1
Genetic Algorithm,P005,Raymond Cooper,Assistant Professor,Biology,9,13.933333333333335,11.486687808373093,2.232198559573722,27.65221970128015,40.0,75.88426089625699,10.7165675401134,18.361295436983823,True,True,MATH601 (100.0%),1
Genetic Algorithm,P006,Barbara Ramos,Assistant Professor,History,8,18.21666666666667,14.645848151124827,2.693303184445395,35.55581800223689,40.0,76.48819342401366,8.975453756763823,23.81631184002772,True,True,MATH602 (100.0%); BUS101 (50.0%),2
Genetic Algorithm,P007,Jason Jones,Assistant Professor,Communication Studies,10,5.555555555555556,14.88133332660944,9.920250083734384,30.35713896589938,40.0,30.772218611764167,10.484109284288596,18.053802443193604,False,True,MATH101 (33.3%),1
Genetic Algorithm,P008,Patricia Lopez,Professor,History,20,18.700000000000003,14.05154523244459,7.003269937160072,39.75481516960466,40.0,82.74370932806033,8.814232953401095,22.59990536061017,True,True,BUS601 (100.0%); BUS602 (100.0%),2
Genetic Algorithm,P009,Helen Robinson,Professor,Philosophy,20,13.433333333333335,8.547365977452412,7.049288134837124,29.02998744562287,40.0,55.488338506490194,11.98970369182486,24.20929098780297,True,True,BUS603 (100.0%),1
Genetic Algorithm,P010,Nicholas Cox,Lecturer,Civil Engineering,4,18.166666666666668,11.746651110821563,2.60239488725406,32.51571266474229,40.0,80.59203972131768,8.90245878279628,22.541514930613353,True,True,EE201 (100.0%),1
Genetic Algorithm,P011,Patricia Bailey,Associate Professor,Mechanical Engineering,12,14.466666666666667,14.319877313878031,3.903452848723704,32.6899968292684,40.0,79.32280424600654,8.696984805624709,18.237714619620224,True,True,BME101 (100.0%),1
Genetic Algorithm,P012,Betty Alvarez,Lecturer,Public Health,1,15.266666666666666,9.443328575686836,7.621590182924837,32.331585425278334,40.0,84.39356485953164,9.359298627109034,18.0898468882991,True,True,BME201 (100.0%),1
Genetic Algorithm,P013,Lisa Hughes,Lecturer,Environmental Science,5,14.0,10.047745776013839,3.3879921795367585,27.4357379555506,40.0,84.70116698315292,11.036609520182282,16.5286978900593,True,True,PSYCH201 (100.0%),1
