Algorithm,Course_ID,Course_Name,Course_Code,Department,Difficulty_Level,Num_Students,Professor_ID,Professor_Name,Professor_Title,Professor_Department,Share_Percentage,Workload_Hours,Lecture_Hours,Lab_Hours,Assessment_Hours,Prep_Hours,Team_Teaching,Num_Professors
Hill Climbing,C001,Introduction to Programming,CS101,COMP,1,120,P090,Charles Collins,Professor,Nursing,50.0,7.25,1.5,1.0,1.0,2.25,True,2
Hill Climbing,C001,Introduction to Programming,CS101,COMP,1,120,P018,Carol Lee,Lecturer,Geology,50.0,7.25,1.5,1.0,1.0,2.25,True,2
Hill Climbing,C002,Data Structures,CS102,COMP,2,100,P002,Patricia Scott,Assistant Professor,Geology,50.0,7.833333333333333,1.5,1.0,0.8333333333333334,2.7,True,2
Hill Climbing,C002,Data Structures,CS102,COMP,2,100,P042,Adam Campbell,Assistant Professor,Economics,50.0,7.833333333333333,1.5,1.0,0.8333333333333334,2.7,True,2
Hill Climbing,C003,Algorithms,CS201,COMP,2,80,P076,Karen Watson,Assistant Professor,Computer Science & Engineering,100.0,13.333333333333334,3.0,1.0,1.3333333333333333,6.0,False,1
Hill Climbing,C004,Computer Organization,CS202,COMP,2,90,P058,Michelle Green,Professor,Electrical Engineering,50.0,7.583333333333333,1.5,1.0,0.8333333333333334,2.55,True,2
Hill Climbing,C004,Computer Organization,CS202,COMP,2,90,P011,Patricia Bailey,Associate Professor,Mechanical Engineering,50.0,7.583333333333333,1.5,1.0,0.8333333333333334,2.55,True,2
Hill Climbing,C005,Operating Systems,CS301,COMP,3,70,P028,Sandra Collins,Professor,Geology,50.0,8.666666666666666,1.5,1.0,0.6666666666666666,3.3000000000000003,True,2
Hill Climbing,C005,Operating Systems,CS301,COMP,3,70,P025,Kimberly Hall,Assistant Professor,Pharmacy,50.0,8.666666666666666,1.5,1.0,0.6666666666666666,3.3000000000000003,True,2
Hill Climbing,C006,Database Systems,CS302,COMP,3,85,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,100.0,16.166666666666668,3.0,2.0,1.6666666666666667,5.699999999999999,False,1
Hill Climbing,C007,Software Engineering,CS401,COMP,4,60,P081,Helen Ortiz,Professor,Computer Science & Engineering,100.0,19.5,3.0,2.0,2.0,7.5,False,1
Hill Climbing,C008,Computer Networks,CS402,COMP,4,65,P030,Edward Hernandez,Professor,Computer Science & Engineering,50.0,6.866666666666667,1.5,0.5,0.6666666666666666,3.1500000000000004,True,2
Hill Climbing,C008,Computer Networks,CS402,COMP,4,65,P034,Laura Harris,Associate Professor,Computer Science & Engineering,50.0,6.866666666666667,1.5,0.5,0.6666666666666666,3.1500000000000004,True,2
Hill Climbing,C009,Artificial Intelligence,CS501,COMP,5,50,P037,Sandra Nguyen,Associate Professor,Geology,50.0,8.266666666666666,1.5,0.5,0.6666666666666666,4.199999999999999,True,2
