Algorithm,Professor_ID,Professor_Name,Title,Department,Years_Experience,Teaching_Hours,Research_Hours,Admin_Hours,Total_Hours,Contracted_Hours,Load_Percentage,Min_Teaching_Required,Max_Teaching_Allowed,Meets_Minimum,Within_Limits,Assigned_Courses,Num_Courses
Hill Climbing,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,10,16.166666666666668,9.915618482704469,3.926972739577865,30.009257888949,40.0,78.19968736419318,8.315028193165464,20.6735694368891,True,True,CS302 (100.0%),1
Hill Climbing,P002,Patricia Scott,Assistant Professor,Geology,7,7.833333333333333,10.373662603956515,9.749674919753271,27.956670857043118,40.0,37.67510382785554,10.168780805497097,20.791802908162563,False,True,CS102 (50.0%),1
Hill Climbing,P003,Donna Lewis,Associate Professor,Electrical Engineering,12,14.466666666666667,9.680612306718032,3.996237913783395,28.143516887168097,40.0,90.25907310248269,11.12046496748577,16.027936216717855,True,True,CE201 (100.0%),1
Hill Climbing,P004,Sarah Wilson,Associate Professor,Chemistry,15,10.0,13.4050178655208,6.089391974996697,29.4944098405175,40.0,43.5970077625238,11.839328014732144,22.93735399106002,False,True,BME301 (50.0%),1
Hill Climbing,P005,Raymond Cooper,Assistant Professor,Biology,9,9.0,11.486687808373093,2.232198559573722,22.718886367946812,40.0,49.016149382749724,10.7165675401134,18.361295436983823,False,True,CHEM201 (50.0%),1
Hill Climbing,P006,Barbara Ramos,Assistant Professor,History,8,20.333333333333332,14.645848151124827,2.693303184445395,37.67248466890356,40.0,85.37565963156143,8.975453756763823,23.81631184002772,True,True,PHYS101 (100.0%),1
Hill Climbing,P007,Jason Jones,Assistant Professor,Communication Studies,10,14.433333333333334,14.88133332660944,9.920250083734384,39.23491674367716,40.0,79.9462239533633,10.484109284288596,18.053802443193604,True,True,CS804 (50.0%); MATH702 (100.0%),2
Hill Climbing,P008,Patricia Lopez,Professor,History,20,15.016666666666667,14.05154523244459,7.003269937160072,36.07148183627133,40.0,66.4457059755636,8.814232953401095,22.59990536061017,True,True,CHE101 (50.0%); HIST101 (50.0%),2
Hill Climbing,P009,Helen Robinson,Professor,Philosophy,20,9.5,8.547365977452412,7.049288134837124,25.096654112289535,40.0,39.24113269069405,11.98970369182486,24.20929098780297,False,True,CE301 (50.0%),1
Hill Climbing,P010,Nicholas Cox,Lecturer,Civil Engineering,4,10.3,11.746651110821563,2.60239488725406,24.649045998075625,40.0,45.693468392453504,8.90245878279628,22.541514930613353,True,True,EE101 (50.0%),1
Hill Climbing,P011,Patricia Bailey,Associate Professor,Mechanical Engineering,12,7.583333333333333,14.319877313878031,3.903452848723704,25.806663495935066,40.0,41.580502225729234,8.696984805624709,18.237714619620224,False,True,CS202 (50.0%),1
Hill Climbing,P012,Betty Alvarez,Lecturer,Public Health,1,8.583333333333334,9.443328575686836,7.621590182924837,25.648252091945007,40.0,47.44834705530436,9.359298627109034,18.0898468882991,False,True,BIO201 (50.0%),1
Hill Climbing,P013,Lisa Hughes,Lecturer,Environmental Science,5,7.4,10.047745776013839,3.3879921795367585,20.8357379555506,40.0,44.77061683395226,11.036609520182282,16.5286978900593,False,True,MATH202 (50.0%),1
Hill Climbing,P014,Sharon Turner,Lecturer,Communication Studies,1,10.2,10.900781351856356,3.442103383014757,24.542884734871112,40.0,59.50322989252943,11.790673070137387,17.141926612089,False,True,BUS101 (50.0%); BUS502 (50.0%),2
Hill Climbing,P015,Mark Edwards,Assistant Professor,Biology,8,7.633333333333333,10.40920955668976,2.38199557295081,20.424538462973903,40.0,39.76055719317826,11.175596434557752,19.19825543753443,False,True,BME201 (50.0%),1
Hill Climbing,P016,Emily Scott,Associate Professor,History,15,13.666666666666666,8.338841302801036,8.960297400451136,30.965805369918836,40.0,73.77181713221876,11.992602391092197,18.525593103084823,True,True,MATH401 (100.0%),1
Hill Climbing,P017,Michelle Smith,Associate Professor,Public Health,14,14.883333333333335,12.022910291595,8.945693019355108,35.85193664428344,40.0,63.83886087242554,10.072408531696066,23.313908064675413,True,True,MATH102 (33.3%); BUS601 (50.0%); ECON101 (33.3%),3
