Algorithm,Course_ID,Course_Name,Course_Code,Department,Difficulty_Level,Num_Students,Professor_ID,Professor_Name,Professor_Title,Professor_Department,Share_Percentage,Workload_Hours,Lecture_Hours,Lab_Hours,Assessment_Hours,Prep_Hours,Team_Teaching,Num_Professors
Simulated Annealing,C001,Introduction to Programming,CS101,COMP,1,120,P099,Deborah Lee,Associate Professor,Communication Studies,100.0,14.5,3.0,2.0,2.0,4.5,False,1
Simulated Annealing,C002,Data Structures,CS102,COMP,2,100,P094,Nicholas Wilson,Professor,Computer Science & Engineering,100.0,15.666666666666666,3.0,2.0,1.6666666666666667,5.4,False,1
Simulated Annealing,C003,Algorithms,CS201,COMP,2,80,P076,Karen Watson,Assistant Professor,Computer Science & Engineering,100.0,13.333333333333334,3.0,1.0,1.3333333333333333,6.0,False,1
Simulated Annealing,C004,Computer Organization,CS202,COMP,2,90,P003,Donna Lewis,Associate Professor,Electrical Engineering,100.0,15.166666666666666,3.0,2.0,1.6666666666666667,5.1,False,1
Simulated Annealing,C005,Operating Systems,CS301,COMP,3,70,P054,Michelle Lewis,Associate Professor,Communication Studies,100.0,17.333333333333332,3.0,2.0,1.3333333333333333,6.6000000000000005,False,1
Simulated Annealing,C006,Database Systems,CS302,COMP,3,85,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,100.0,16.166666666666668,3.0,2.0,1.6666666666666667,5.699999999999999,False,1
Simulated Annealing,C007,Software Engineering,CS401,COMP,4,60,P081,Helen Ortiz,Professor,Computer Science & Engineering,100.0,19.5,3.0,2.0,2.0,7.5,False,1
Simulated Annealing,C008,Computer Networks,CS402,COMP,4,65,P030,Edward Hernandez,Professor,Computer Science & Engineering,100.0,13.733333333333334,3.0,1.0,1.3333333333333333,6.300000000000001,False,1
Simulated Annealing,C009,Artificial Intelligence,CS501,COMP,5,50,P097,Nicholas Cox,Lecturer,Biochemistry,100.0,16.53333333333333,3.0,1.0,1.3333333333333333,8.399999999999999,False,1
Simulated Annealing,C010,Machine Learning,CS502,COMP,5,55,P045,Nancy Wright,Associate Professor,Computer Science & Engineering,100.0,16.066666666666666,3.0,1.0,1.6666666666666667,7.800000000000001,False,1
