Algorithm,Professor_ID,Professor_Name,Title,Department,Years_Experience,Teaching_Hours,Research_Hours,Admin_Hours,Total_Hours,Contracted_Hours,Load_Percentage,Min_Teaching_Required,Max_Teaching_Allowed,Meets_Minimum,Within_Limits,Assigned_Courses,Num_Courses
Simulated Annealing,P001,Dorothy Anderson,Assistant Professor,Computer Science & Engineering,10,16.166666666666668,9.915618482704469,3.926972739577865,30.009257888949,40.0,78.19968736419318,8.315028193165464,20.6735694368891,True,True,CS302 (100.0%),1
Simulated Annealing,P002,Patricia Scott,Assistant Professor,Geology,7,20.5,10.373662603956515,9.749674919753271,40.623337523709786,40.0,98.59654831545174,10.168780805497097,20.791802908162563,True,True,CS601 (100.0%); MATH702 (100.0%),2
Simulated Annealing,P003,Donna Lewis,Associate Professor,Electrical Engineering,12,15.166666666666666,9.680612306718032,3.996237913783395,28.843516887168093,40.0,94.62644760744152,11.12046496748577,16.027936216717855,True,True,CS202 (100.0%),1
Simulated Annealing,P004,Sarah Wilson,Associate Professor,Chemistry,15,17.133333333333333,13.4050178655208,6.089391974996697,36.62774317385083,40.0,74.6962066331241,11.839328014732144,22.93735399106002,True,True,CS805 (100.0%),1
Simulated Annealing,P005,Raymond Cooper,Assistant Professor,Biology,9,13.033333333333333,11.486687808373093,2.232198559573722,26.752219701280147,40.0,70.982645957982,10.7165675401134,18.361295436983823,True,True,MATH402 (100.0%),1
Simulated Annealing,P006,Barbara Ramos,Assistant Professor,History,8,23.1,14.645848151124827,2.693303184445395,40.43915133557023,40.0,96.99234774536407,8.975453756763823,23.81631184002772,True,True,MATH601 (100.0%); BUS101 (100.0%),2
Simulated Annealing,P007,Jason Jones,Assistant Professor,Communication Studies,10,13.633333333333335,14.88133332660944,9.920250083734384,38.434916743677164,40.0,75.51502447326926,10.484109284288596,18.053802443193604,True,True,MATH602 (100.0%),1
Simulated Annealing,P008,Patricia Lopez,Professor,History,20,16.066666666666666,14.05154523244459,7.003269937160072,37.12148183627133,40.0,71.09174313034772,8.814232953401095,22.59990536061017,True,True,BUS501 (100.0%),1
Simulated Annealing,P009,Helen Robinson,Professor,Philosophy,20,18.700000000000003,8.547365977452412,7.049288134837124,34.29665411228954,40.0,77.24307171747145,11.98970369182486,24.20929098780297,True,True,BUS601 (100.0%); BUS602 (100.0%),2
Simulated Annealing,P010,Nicholas Cox,Lecturer,Civil Engineering,4,13.433333333333335,11.746651110821563,2.60239488725406,27.782379331408958,40.0,59.593746803102796,8.90245878279628,22.541514930613353,True,True,BUS603 (100.0%),1
Simulated Annealing,P011,Patricia Bailey,Associate Professor,Mechanical Engineering,12,15.666666666666666,14.319877313878031,3.903452848723704,33.8899968292684,40.0,85.90257602678128,8.696984805624709,18.237714619620224,True,True,EE301 (100.0%),1
Simulated Annealing,P012,Betty Alvarez,Lecturer,Public Health,1,16.46666666666667,9.443328575686836,7.621590182924837,33.53158542527834,40.0,91.02712017600139,9.359298627109034,18.0898468882991,True,True,MATH501 (100.0%),1
Simulated Annealing,P013,Lisa Hughes,Lecturer,Environmental Science,5,10.366666666666665,10.047745776013839,3.3879921795367585,23.802404622217264,40.0,62.71919745657275,11.036609520182282,16.5286978900593,False,True,BUS301 (100.0%),1
Simulated Annealing,P014,Sharon Turner,Lecturer,Communication Studies,1,15.266666666666666,10.900781351856356,3.442103383014757,29.60955140153778,40.0,89.06038983914534,11.790673070137387,17.141926612089,True,True,BME201 (100.0%),1
Simulated Annealing,P015,Mark Edwards,Assistant Professor,Biology,8,14.0,10.40920955668976,2.38199557295081,26.79120512964057,40.0,72.92329266871123,11.175596434557752,19.19825543753443,True,True,PSYCH201 (100.0%),1
Simulated Annealing,P016,Emily Scott,Associate Professor,History,15,0.0,8.338841302801036,8.960297400451136,17.299138703252172,40.0,0.0,11.992602391092197,18.525593103084823,False,True,,0
